file,title_len,desc_len,has_canonical,h1_count,has_schema,has_faq,has_og,has_breadcrumb,issue_score
"about.tsx",68,164,1,1,0,0,1,0,9
"ai-news.tsx",7,136,0,0,0,0,0,0,24
"ai_news.tsx",7,136,0,0,0,0,0,0,24
"case-studies.algorithm-claim.tsx",75,0,1,1,0,0,0,0,19
"case-studies.australia-tga.tsx",61,0,1,1,0,0,0,0,17
"case-studies.eu-mdr-remediation.tsx",75,0,1,1,0,0,0,0,19
"case-studies.fda-biocompatibility.tsx",75,0,1,1,0,0,0,0,19
"case-studies.fda-simulated-use.tsx",70,0,1,1,0,0,0,0,17
"case-studies.index.tsx",53,170,1,1,0,0,1,0,9
"case-studies.test-smarter.tsx",56,0,1,1,0,0,0,0,17
"case-studies.tsx",7,0,0,0,0,0,0,0,40
"contact.tsx",67,164,1,1,0,0,1,0,9
"index.tsx",89,214,1,1,0,0,1,0,11
"industries.cosmetics.tsx",78,0,1,1,0,0,1,0,17
"industries.cosmetics_.eu.tsx",62,0,1,1,0,0,0,0,17
"industries.cosmetics_.india.for-importer.tsx",61,0,1,1,0,0,0,0,17
"industries.cosmetics_.india.for-manufacturer.tsx",56,0,1,1,0,0,0,0,17
"industries.cosmetics_.india.index.tsx",51,0,1,1,0,0,0,0,17
"industries.cosmetics_.uk.tsx",48,0,1,1,0,0,0,0,17
"industries.cosmetics_.usa.tsx",68,0,1,1,0,0,0,0,17
"industries.index.tsx",77,115,1,1,0,0,0,0,16
"industries.ivd.tsx",61,0,1,1,0,0,0,0,17
"industries.ivd_.eu.tsx",56,0,1,1,0,0,0,0,17
"industries.ivd_.india.tsx",62,0,1,1,0,0,0,0,17
"industries.ivd_.usa.tsx",60,0,1,1,0,0,0,0,17
"industries.medical-devices.tsx",81,0,1,1,0,0,0,0,19
"industries.medical-devices_.india.for-importer.tsx",66,176,1,1,0,0,0,0,11
"industries.medical-devices_.india.for-manufacturer.tsx",62,154,1,1,0,0,0,0,11
"insights.eu-mdr-2026.tsx",60,152,1,1,0,0,0,0,11
"insights.fda-inspections-2026.tsx",47,157,1,1,0,0,0,0,11
"insights.fda-qmsr-2026.tsx",40,156,1,1,0,0,0,0,11
"insights.index.tsx",59,142,1,1,0,0,1,0,9
"markets.index.tsx",80,105,1,1,0,0,0,0,16
"regulatory-updates.tsx",7,136,0,0,0,0,0,0,24
"services.audit-compliance.tsx",53,71,1,1,0,0,0,0,14
"services.australia.artg-inclusion.tsx",7,166,1,1,0,0,0,0,11
"services.australia.australian-sponsor.tsx",7,216,1,1,0,0,0,0,11
"services.australia.change-management.tsx",7,198,1,1,0,0,0,0,11
"services.australia.classification.tsx",7,205,1,1,0,0,0,0,11
"services.australia.clinical-evidence.tsx",7,189,1,1,0,0,0,0,11
"services.australia.conformity-assessment.tsx",66,0,1,1,0,0,0,0,17
"services.australia.index.tsx",7,179,1,1,0,0,0,0,11
"services.australia.ivd.tsx",7,209,1,1,0,0,0,0,11
"services.australia.labeling.tsx",7,188,1,1,0,0,0,0,11
"services.australia.manufacturer-evidence.tsx",7,203,1,1,0,0,0,0,11
"services.australia.pms.tsx",67,0,1,1,0,0,0,0,17
"services.australia.post-market.tsx",7,207,1,1,0,0,0,0,11
"services.australia.software.tsx",7,182,1,1,0,0,0,0,11
"services.australia.sponsor.tsx",64,0,1,1,0,0,0,0,17
"services.australia.supply-chain.tsx",7,175,1,1,0,0,0,0,11
"services.australia.technical-documentation.tsx",7,177,1,1,0,0,0,0,11
"services.australia.testing-strategy.tsx",7,180,1,1,0,0,0,0,11
"services.australia.tga-audit.tsx",7,176,1,1,0,0,0,0,11
"services.australia.tsx",7,0,0,0,0,0,0,0,40
"services.brazil.anvisa-queries.tsx",7,159,1,1,0,0,0,0,11
"services.brazil.bgmp.tsx",7,189,1,1,0,0,0,0,11
"services.brazil.brh.tsx",7,203,1,1,0,0,0,0,11
"services.brazil.change-management.tsx",7,201,1,1,0,0,0,0,11
"services.brazil.classification.tsx",7,189,1,1,0,0,0,0,11
"services.brazil.index.tsx",7,201,1,1,0,0,0,0,11
"services.brazil.ivd.tsx",7,192,1,1,0,0,0,0,11
"services.brazil.labeling.tsx",7,184,1,1,0,0,0,0,11
"services.brazil.notificacao.tsx",53,0,1,1,0,0,0,0,17
"services.brazil.registration.tsx",7,184,1,1,0,0,0,0,11
