file,url,indexing,next_action
"about.tsx","/about","indexable","Maintain existing indexable landing page"
"ai-news.tsx","/ai-news","indexable","Maintain existing indexable landing page"
"case-studies.algorithm-claim.tsx","/case-studies/algorithm-claim","indexable","Maintain existing indexable landing page"
"case-studies.australia-tga.tsx","/case-studies/australia-tga","indexable","Maintain existing indexable landing page"
"case-studies.eu-mdr-remediation.tsx","/case-studies/eu-mdr-remediation","indexable","Maintain existing indexable landing page"
"case-studies.fda-biocompatibility.tsx","/case-studies/fda-biocompatibility","indexable","Maintain existing indexable landing page"
"case-studies.fda-simulated-use.tsx","/case-studies/fda-simulated-use","indexable","Maintain existing indexable landing page"
"case-studies.index.tsx","/case-studies","indexable","Maintain existing indexable landing page"
"case-studies.test-smarter.tsx","/case-studies/test-smarter","indexable","Maintain existing indexable landing page"
"contact.tsx","/contact","indexable","Maintain existing indexable landing page"
"index.tsx","/","indexable","Maintain existing indexable landing page"
"industries.cosmetics.tsx","/industries/cosmetics","indexable","Maintain existing indexable landing page"
"industries.cosmetics_.eu.tsx","/industries/cosmetics/eu","indexable","Distinct cosmetics / eu industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.cosmetics_.india.for-importer.tsx","/industries/cosmetics/india/for-importer","indexable","Distinct cosmetics / india / for-importer industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.cosmetics_.india.for-manufacturer.tsx","/industries/cosmetics/india/for-manufacturer","indexable","Distinct cosmetics / india / for-manufacturer industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.cosmetics_.india.index.tsx","/industries/cosmetics/india","indexable","Distinct cosmetics / india industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.cosmetics_.uk.tsx","/industries/cosmetics/uk","indexable","Distinct cosmetics / uk industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.cosmetics_.usa.tsx","/industries/cosmetics/usa","indexable","Distinct cosmetics / usa industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.index.tsx","/industries","indexable","Maintain existing indexable landing page"
"industries.ivd.tsx","/industries/ivd","indexable","Maintain existing indexable landing page"
"industries.ivd_.eu.tsx","/industries/ivd/eu","indexable","Distinct ivd / eu industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.ivd_.india.tsx","/industries/ivd/india","noindex","Makes blanket local-testing and designated-laboratory mandates for new IVDs; needs product- and pathway-specific source verification before restoring indexing."
"industries.ivd_.usa.tsx","/industries/ivd/usa","indexable","Distinct ivd / usa industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone."
"industries.medical-devices.tsx","/industries/medical-devices","indexable","Maintain existing indexable landing page"
"industries.medical-devices_.india.for-importer.tsx","/industries/medical-devices/india/for-importer","indexable","Maintain existing indexable landing page"
"industries.medical-devices_.india.for-manufacturer.tsx","/industries/medical-devices/india/for-manufacturer","indexable","Maintain existing indexable landing page"
"insights.biological-evaluation-testing-medical-devices-iso-10993.tsx","/insights/biological-evaluation-testing-medical-devices-iso-10993","indexable","Maintain existing indexable landing page"
"insights.borderline-medical-device-classification-strategy.tsx","/insights/borderline-medical-device-classification-strategy","indexable","Maintain existing indexable landing page"
"insights.cdsco-medical-device-manufacturing-license-india.tsx","/insights/cdsco-medical-device-manufacturing-license-india","indexable","Maintain existing indexable landing page"
"insights.cdsco-medical-device-registration-guidelines-india.tsx","/insights/cdsco-medical-device-registration-guidelines-india","indexable","Maintain existing indexable landing page"
"insights.ce-marking-cardiovascular-medical-devices.tsx","/insights/ce-marking-cardiovascular-medical-devices","indexable","Maintain existing indexable landing page"
"insights.ce-marking-digital-health-technologies.tsx","/insights/ce-marking-digital-health-technologies","indexable","Maintain existing indexable landing page"
"insights.ce-marking-process-medical-devices-eu-mdr.tsx","/insights/ce-marking-process-medical-devices-eu-mdr","indexable","Distinct informational article: The EU MDR CE-Marking Process: Plan the Decisions and Handoffs. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.class-iii-medical-device-classification-strategy.tsx","/insights/class-iii-medical-device-classification-strategy","indexable","Distinct informational article: FDA Class III Strategy: Establish the Regulatory Path Before Committing to Studies. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.clinical-evaluation-equivalence-medical-devices.tsx","/insights/clinical-evaluation-equivalence-medical-devices","indexable","Maintain existing indexable landing page"
"insights.core-regulations-medical-device-global-compliance.tsx","/insights/core-regulations-medical-device-global-compliance","indexable","Maintain existing indexable landing page"
"insights.dental-scanners-manufacturing-regulatory-standards.tsx","/insights/dental-scanners-manufacturing-regulatory-standards","indexable","Distinct informational article: Dental Scanner Development: Validate the Scan-to-Decision Workflow. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.dynamic-risk-management-software-medical-devices.tsx","/insights/dynamic-risk-management-software-medical-devices","indexable","Maintain existing indexable landing page"
"insights.effective-capa-system-medical-devices.tsx","/insights/effective-capa-system-medical-devices","indexable","Maintain existing indexable landing page"
"insights.eu-ai-act-medical-devices.tsx","/insights/eu-ai-act-medical-devices","indexable","Maintain existing indexable landing page"
"insights.eu-mdr-2026.tsx","/insights/eu-mdr-2026","indexable","Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.eu-mdr-compliance-challenges.tsx","/insights/eu-mdr-compliance-challenges","indexable","Maintain existing indexable landing page"
"insights.fda-510k-program-modernization-safety-standards.tsx","/insights/fda-510k-program-modernization-safety-standards","indexable","Distinct informational article: 510(k) Modernisation: Assess Predicate Relevance and Performance Evidence. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
"insights.fda-inspections-2026.tsx","/insights/fda-inspections-2026","indexable","Distinct informational article: Back to Insights. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication."
