file,url,previous_state,decision,reason,related_page,export_clicks,export_impressions,export_average_position
industries.cosmetics_.eu.tsx,/industries/cosmetics/eu,noindex,indexable,Distinct cosmetics / eu industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,,,
industries.cosmetics_.india.for-importer.tsx,/industries/cosmetics/india/for-importer,noindex,indexable,Distinct cosmetics / india / for-importer industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,,,
industries.cosmetics_.india.for-manufacturer.tsx,/industries/cosmetics/india/for-manufacturer,noindex,indexable,Distinct cosmetics / india / for-manufacturer industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,,,
industries.cosmetics_.india.index.tsx,/industries/cosmetics/india,noindex,indexable,Distinct cosmetics / india industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,,,
industries.cosmetics_.uk.tsx,/industries/cosmetics/uk,noindex,indexable,Distinct cosmetics / uk industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,0,5,69.8
industries.cosmetics_.usa.tsx,/industries/cosmetics/usa,noindex,indexable,Distinct cosmetics / usa industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,,,
industries.ivd_.eu.tsx,/industries/ivd/eu,noindex,indexable,Distinct ivd / eu industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,0,456,54.78
industries.ivd_.india.tsx,/industries/ivd/india,noindex,retain noindex,Makes blanket local-testing and designated-laboratory mandates for new IVDs; needs product- and pathway-specific source verification before restoring indexing.,/services/india/ivd,,,
industries.ivd_.usa.tsx,/industries/ivd/usa,noindex,indexable,Distinct ivd / usa industry-market intent with product-specific requirements and service navigation; not a geographic name-only clone.,,0,59,45.39
insights.ce-marking-process-medical-devices-eu-mdr.tsx,/insights/ce-marking-process-medical-devices-eu-mdr,noindex,indexable,Distinct informational article: The EU MDR CE-Marking Process: Plan the Decisions and Handoffs. Provides explanatory guidance beyond a service enquiry page; related subject matter alone is not duplication.,,,,
